ID,day,organism,em_Preferred_name,em_desc,Marinobacter_LFC,Marinobacter_pvalue,Marinobacter_padj,Alteromonas_LFC,Alteromonas_pvalue,Alteromonas_padj,Pseudohoeflea_LFC,Pseudohoeflea_pvalue,Pseudohoeflea_padj,Thalassospira_1_LFC,Thalassospira_1_pvalue,Thalassospira_1_padj,Thalassospira_2_LFC,Thalassospira_2_pvalue,Thalassospira_2_padj
1_1012_MED4_genome,5,MED4,,Alternative locus ID,-0.023505154,0.87283384,0.940200316,0.05831665,0.42378469,0.60662473,-0.006767911,0.948394132,0.963949803,-0.097609193,0.270479564,0.412046981,-0.053615074,0.684506724,0.864768951
1_1013_MED4_genome,5,MED4,pykF,Belongs to the pyruvate kinase family,-0.183827414,0.198113598,0.539510648,-0.0476202,0.49393047,0.66866839,-0.201514028,0.237636147,0.590115995,-0.142822315,0.152066734,0.285831895,-0.226754938,0.116118536,0.726824113
1_1014_MED4_genome,5,MED4,salY,Alternative locus ID,-0.164500536,0.215749552,0.546053873,0.10570413,0.26815936,0.46158972,-0.055030923,0.732036003,0.843326178,-0.149498703,0.178573381,0.319504998,-0.062853598,0.615521406,0.85032584
1_1015_MED4_genome,5,MED4,,Alternative locus ID,0.262822858,0.369256717,0.637897619,0.33312155,0.33429906,0.52463316,0.176915029,0.514019127,0.718131449,0.658586007,0.01102096,0.088452934,0.289738348,0.473934971,0.785529836
1_1016_MED4_genome,5,MED4,lspA,This protein specifically catalyzes the removal of signal peptides from prolipoproteins,-0.056319171,0.954627896,0.977667984,-0.8185899,0.21913826,0.41149489,-0.2607326,0.606790344,0.776072642,1.331175655,0.182554873,0.322323448,-0.312959115,0.598152043,0.841790979
1_1017_MED4_genome,5,MED4,,GTPase SAR1 and related small G,0.242727321,0.392254174,0.655351634,-0.5567175,0.03279181,0.14694291,0.327477408,0.322097429,0.626898845,-0.024589639,0.871935635,0.92336734,-0.034239491,0.83495984,0.927143267
1_1018_MED4_genome,5,MED4,,None,1.350578983,0.118230481,0.513773,0.74278299,0.10715046,0.27591962,0.617641246,0.289531874,0.618677118,1.926008932,0.019532363,0.106290998,0.709200928,0.279152024,0.729703177
1_1019_MED4_genome,5,MED4,gadB,Alternative locus ID,0.000624941,0.996586258,0.998665729,0.26636197,0.02732678,0.13323538,0.130532422,0.458650233,0.687469694,0.367050846,0.007121839,0.081922476,-0.017024884,0.884162766,0.95818715
1_102_MED4_genome,5,MED4,tolC,outer membrane efflux protein,0.18146348,0.42187693,0.678748394,-0.2622297,0.08940086,0.2519747,0.234178054,0.308754806,0.62302309,0.009676212,0.931568781,0.957999801,0.100294861,0.618385244,0.85032584
1_1020_MED4_genome,5,MED4,cumB,Alternative locus ID,0.315302461,0.197791095,0.539510648,-0.3157136,0.06497051,0.21189871,-0.021628939,0.868001107,0.918694284,0.303029055,0.034163589,0.132048801,0.223833003,0.370158204,0.749287576
1_1021_MED4_genome,5,MED4,spt,Alternative locus ID,-0.092123557,0.599857158,0.79070157,-0.0789019,0.26999853,0.46350953,-0.322091888,0.203828651,0.575426073,-0.200396729,0.069713948,0.180629027,-0.070252328,0.478345342,0.789034582
1_1022_MED4_genome,5,MED4,glnA,Glutamine synthetase,-0.349838136,0.157858541,0.531579157,-0.0198987,0.84950034,0.91464773,-0.523523438,0.099212941,0.534361361,-0.106759906,0.374732324,0.511628141,-0.253092086,0.076183589,0.726824113
1_1023_MED4_genome,5,MED4,,Alternative locus ID,-0.121873165,0.381949253,0.64931373,-0.215905,0.11256813,0.28267108,-0.07583758,0.530922934,0.73058951,0.037949513,0.703444894,0.800362744,-0.150425736,0.375881936,0.751872851
1_1024_MED4_genome,5,MED4,,Alternative locus ID,0.337789312,0.300558488,0.579287018,-0.2293124,0.03920751,0.1619734,-0.041400148,0.707693559,0.832702789,0.370048385,0.065123797,0.174237904,0.25343579,0.348475933,0.738949542
1_1025_MED4_genome,5,MED4,rsbW,Alternative locus ID,0.201176168,0.111240513,0.513773,-0.1292593,0.19288151,0.38119896,-0.037833035,0.747813131,0.84952633,-0.221083583,0.070613957,0.18134948,0.120345335,0.461741138,0.781010708
1_1026_MED4_genome,5,MED4,,GUN4-like,0.423528783,0.02415963,0.513773,-0.6188963,0.00553479,0.06118058,0.11004098,0.734014248,0.843326178,0.032027951,0.767132135,0.850615204,0.19626616,0.166617608,0.726824113
1_1027_MED4_genome,5,MED4,ybbB,Alternative locus ID,0.273514494,0.076522031,0.513773,0.09331314,0.33689592,0.52701716,0.274049154,0.061204385,0.534361361,0.238409187,0.122233956,0.248215043,0.22699548,0.094576831,0.726824113
1_1028_MED4_genome,5,MED4,psb28,Photosystem II reaction center Psb28 protein,0.156422733,0.535507183,0.747242174,-0.3014239,0.01688784,0.10201741,-0.161571269,0.221206921,0.583881236,0.156268883,0.313241012,0.451753742,0.225162568,0.34665166,0.737450542
1_1029_MED4_genome,5,MED4,perM,Alternative locus ID,0.729584639,0.066200504,0.513773,0.37037782,0.12032835,0.29387823,0.566338163,0.13646085,0.536097533,0.750314421,0.049808201,0.152602159,0.40345355,0.284722809,0.729703177
1_103_MED4_genome,5,MED4,,Fe-S oxidoreductase,-0.349645961,0.102232148,0.513773,0.17600023,0.1858777,0.37332282,0.153564685,0.375262527,0.650162023,-0.301836136,0.12108143,0.247376002,-0.422724551,0.216152331,0.726824113
1_1030_MED4_genome,5,MED4,,None,0.788067103,0.288461373,0.576491998,0.75245354,0.14348173,0.32124522,0.36903781,0.349450082,0.640456863,1.594820953,0.00171905,0.073330267,0.485182151,0.521326164,0.802367652
1_1031_MED4_genome,5,MED4,secF,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,0.890505459,0.147425363,0.518219219,0.5004011,0.18071025,0.36657275,0.477768299,0.283832551,0.612861314,1.044965023,0.004412089,0.078019332,0.434345806,0.340296087,0.737014789
1_1032_MED4_genome,5,MED4,secD,Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. SecDF uses the proton motive force (PMF) to complete protein translocation after the ATP-dependent function of SecA,0.222127043,0.14374497,0.515627577,-0.0399941,0.58311523,0.73158412,0.136074457,0.360243467,0.64615098,0.281415281,0.016829285,0.103610909,0.233994729,0.273017228,0.727736185
1_1033_MED4_genome,5,MED4,pdhB,Pyruvate dehydrogenase E1 component beta subunit,-0.024725243,0.874118651,0.940200316,-0.1500788,0.03720457,0.15828809,-0.196331151,0.126346001,0.536097533,-0.059024499,0.481058842,0.616487015,-0.013237157,0.895765941,0.962234612
1_1034_MED4_genome,5,MED4,,Alternative locus ID,0.758143792,0.270530885,0.568138975,-0.0290169,0.87800854,0.93185326,0.51034823,0.387805183,0.658104025,0.778248385,0.008355006,0.083484911,0.195289599,0.343531265,0.737450542
1_1035_MED4_genome,5,MED4,ispE,Catalyzes the phosphorylation of the position 2 hydroxy group of 4-diphosphocytidyl-2C-methyl-D-erythritol,0.443586612,0.086125611,0.513773,-0.1377673,0.12118243,0.29392859,0.311157288,0.235221209,0.590115995,0.491355255,0.001364835,0.073330267,0.142025491,0.429468116,0.766785983
1_1036_MED4_genome,5,MED4,ksgA,Specifically dimethylates two adjacent adenosines (A1518 and A1519) in the loop of a conserved hairpin near the 3'-end of 16S rRNA in the 30S particle. May play a critical role in biogenesis of 30S subunits,0.173417712,0.546823573,0.753549558,-0.2123323,0.13588162,0.31037883,0.192112482,0.36837427,0.648734821,0.261373036,0.097750248,0.218794731,0.057721288,0.706701748,0.873034084
1_1037_MED4_genome,5,MED4,,Alternative locus ID,0.178896883,0.558150191,0.760384991,-0.0432265,0.59545834,0.73750837,0.121738938,0.689321679,0.822903357,-0.042732588,0.737962323,0.827086127,-0.006277358,0.970644155,0.989643575
1_1038_MED4_genome,5,MED4,rlmH,Specifically methylates the pseudouridine at position 1915 (m3Psi1915) in 23S rRNA,0.555358932,0.161043035,0.531579157,0.61782811,0.05410299,0.19567491,0.477269607,0.269359502,0.606114506,0.761286799,0.005512412,0.078019332,0.009303251,0.976014184,0.991471111
1_1039_MED4_genome,5,MED4,umuD,Belongs to the peptidase S24 family,0.470115902,0.06370663,0.513773,0.01785964,0.91969633,0.95758084,0.396633596,0.049212691,0.534361361,0.905462372,0.003481307,0.077090762,0.519873669,0.168224835,0.726824113
1_104_MED4_genome,5,MED4,,Alternative locus ID,0.041810714,0.822738214,0.917283871,-0.1020797,0.36246735,0.54940377,0.13322854,0.240941435,0.590115995,0.089499045,0.525190907,0.657686918,-0.114927007,0.556629832,0.82063385
1_1040_MED4_genome,5,MED4,umuC,lesion bypass DNA polymerase V (UmuC),0.367461605,0.068758081,0.513773,0.08644074,0.62466399,0.76140833,0.339794237,0.129517061,0.536097533,0.511173488,0.026063408,0.117018345,0.293218813,0.234152164,0.726824113
1_1041_MED4_genome,5,MED4,,Alternative locus ID,0.517165286,0.137945873,0.513773,-0.0203426,0.8495298,0.91464773,0.328993544,0.476717836,0.694040442,0.293526118,0.079332882,0.194533734,0.339840509,0.423428307,0.763402862
1_1042_MED4_genome,5,MED4,dnaG,RNA polymerase that catalyzes the synthesis of short RNA molecules used as primers for DNA polymerase during DNA replication,0.422717233,0.075661981,0.513773,0.34818005,0.01364644,0.08977675,0.324313073,0.112847496,0.534405675,0.404614212,0.026166933,0.117171744,0.249882904,0.27215042,0.727736185
1_1043_MED4_genome,5,MED4,,Integral membrane protein,0.725597958,0.095188391,0.513773,0.42644691,0.03794344,0.15914706,0.587421165,0.030429363,0.534361361,0.747298545,0.022605747,0.114579525,0.484464721,0.077172265,0.726824113
1_1044_MED4_genome,5,MED4,,Alternative locus ID,0.022078985,0.919011702,0.958294553,-0.3930569,0.15489757,0.3359272,-0.406192421,0.075738408,0.534361361,-0.369249032,0.018473704,0.103610909,0.022770939,0.887910024,0.959539586
1_1045_MED4_genome,5,MED4,ruvA,"The RuvA-RuvB complex in the presence of ATP renatures cruciform structure in supercoiled DNA with palindromic sequence, indicating that it may promote strand exchange reactions in homologous recombination. RuvAB is a helicase that mediates the Holliday junction migration by localized denaturation and reannealing. RuvA stimulates, in the presence of DNA, the weak ATPase activity of RuvB",0.774207004,0.007529141,0.513773,-0.2763148,0.10257557,0.26833238,0.006450817,0.989314446,0.991378744,0.326895531,0.119906144,0.246417196,0.292133535,0.185598866,0.726824113
1_1046_MED4_genome,5,MED4,rpsO,"One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it helps nucleate assembly of the platform of the 30S subunit by binding and bridging several RNA helices of the 16S rRNA",-0.368045285,0.086523431,0.513773,-0.3545424,0.01098315,0.08161536,-0.34250416,0.062367485,0.534361361,-0.498686852,0.004782232,0.078019332,-0.215498107,0.212859489,0.726824113
1_1047_MED4_genome,5,MED4,,Alternative locus ID,-0.433868041,0.052182166,0.513773,-0.2436867,0.01085561,0.08118318,-0.196236923,0.130339293,0.536097533,-0.568120419,0.004351105,0.078019332,-0.445266185,0.071470738,0.726824113
1_1048_MED4_genome,5,MED4,dnaE,DNA polymerase,0.059188718,0.669198308,0.83205822,0.33618284,0.00216154,0.04517036,0.038044346,0.771681238,0.863720304,0.223404865,0.03333173,0.130142791,0.175169575,0.201114014,0.726824113
1_1049_MED4_genome,5,MED4,gatA,Allows the formation of correctly charged Gln-tRNA(Gln) through the transamidation of misacylated Glu-tRNA(Gln) in organisms which lack glutaminyl-tRNA synthetase. The reaction takes place in the presence of glutamine and ATP through an activated gamma-phospho-Glu-tRNA(Gln),-0.156606768,0.290647942,0.576491998,0.31076823,0.00400061,0.05342206,-0.137715744,0.445386995,0.686117416,0.040778754,0.632075942,0.746751467,-0.099126216,0.468297474,0.782519888
1_105_MED4_genome,5,MED4,nadB,Catalyzes the oxidation of L-aspartate to iminoaspartate,-0.075373849,0.593226069,0.784839723,0.11894558,0.27864528,0.47119506,0.038063889,0.83414819,0.900223973,0.204834901,0.078175761,0.192286347,0.145669799,0.277402364,0.729703177
1_1050_MED4_genome,5,MED4,,Alternative locus ID,-0.148107404,0.439713921,0.688412642,-0.4062664,0.03515345,0.15347676,-0.208397661,0.240407116,0.590115995,-0.589204088,0.001482135,0.073330267,-0.039845787,0.794458514,0.904725856
1_1051_MED4_genome,5,MED4,rlmB,Belongs to the class IV-like SAM-binding methyltransferase superfamily. RNA methyltransferase TrmH family,-0.016615897,0.901131367,0.95368823,0.62395271,0.01024693,0.07969372,0.222702669,0.089740434,0.534361361,0.116810153,0.199508829,0.340067845,-0.020406205,0.853214991,0.938731958
1_1052_MED4_genome,5,MED4,mrnC,Involved in correct processing of both the 5' and 3' ends of 23S rRNA precursor. Processes 30S rRNA precursor transcript even in absence of ribonuclease 3 (Rnc),-0.201138731,0.158996673,0.531579157,0.89400185,0.00013141,0.03341187,-0.10540927,0.693691504,0.823597886,0.211508906,0.058162862,0.164794774,0.079573828,0.451923588,0.778348643
1_1053_MED4_genome,5,MED4,carA,Belongs to the CarA family,0.209466781,0.240495976,0.558098386,0.51590317,0.00221072,0.04517036,0.350083112,0.037914289,0.534361361,0.303399256,0.009596729,0.087371168,0.129957908,0.242139815,0.726824113
1_1054_MED4_genome,5,MED4,trpD,Catalyzes the transfer of the phosphoribosyl group of 5- phosphorylribose-1-pyrophosphate (PRPP) to anthranilate to yield N-(5'-phosphoribosyl)-anthranilate (PRA),0.013403477,0.918075874,0.958294553,0.31851922,0.00089519,0.0392812,-0.014482739,0.908232997,0.944621325,0.099329328,0.296395941,0.436638499,0.059406874,0.575431894,0.83175671
1_1055_MED4_genome,5,MED4,,Protein of unknown function (DUF3288),0.518695074,0.064469282,0.513773,0.12182364,0.05822767,0.20087706,0.303886241,0.378497557,0.650162023,0.280433367,0.108808023,0.234145039,0.231032686,0.254204812,0.726824113
1_1056_MED4_genome,5,MED4,,ABC transporter,0.306276791,0.157991139,0.531579157,0.06160664,0.51970025,0.68946422,0.168645728,0.207683546,0.57736627,0.528322281,0.002010166,0.073330267,0.139298363,0.299446186,0.729703177
1_1057_MED4_genome,5,MED4,msrA,Has an important function as a repair enzyme for proteins that have been inactivated by oxidation. Catalyzes the reversible oxidation-reduction of methionine sulfoxide in proteins to methionine,0.402150779,0.029603886,0.513773,0.14867128,0.11904616,0.29261842,0.196648065,0.231226115,0.590115995,0.375403793,0.018715765,0.103610909,0.26734478,0.307684301,0.729703177
1_1058_MED4_genome,5,MED4,,None,-0.067859551,0.706060308,0.851659597,-0.4363716,0.00942486,0.0780312,-0.440781137,0.019693024,0.534361361,-0.321422431,0.046211436,0.147462074,-0.749817964,0.060042818,0.726824113
1_1059_MED4_genome,5,MED4,uppP,Catalyzes the dephosphorylation of undecaprenyl diphosphate (UPP). Confers resistance to bacitracin,0.054001234,0.869796332,0.94002554,0.44784471,0.10575049,0.2737826,0.481711283,0.105039043,0.534361361,0.433654346,0.095405415,0.215977999,0.119729791,0.629208123,0.850912144
1_106_MED4_genome,5,MED4,,Alternative locus ID,-0.014131208,0.902553463,0.95368823,-0.0688623,0.50241539,0.67603751,-0.039767342,0.725218266,0.841270706,-0.05063585,0.537364803,0.668573696,0.075500172,0.488299233,0.790467055
1_1060_MED4_genome,5,MED4,,Alternative locus ID,0.332296113,0.165166817,0.531579157,-0.3968916,0.14686704,0.32578705,0.130076998,0.769930248,0.863691201,0.058650929,0.688929195,0.78816272,0.2232115,0.248761142,0.726824113
1_1061_MED4_genome,5,MED4,,Alternative locus ID,0.038436649,0.774105455,0.886207735,0.12760301,0.06996073,0.22120597,-0.074032547,0.652472219,0.804492382,0.104367837,0.402546048,0.540762907,0.005254746,0.969473744,0.989643575
1_1062_MED4_genome,5,MED4,,Alternative locus ID,-0.193330554,0.293989128,0.576491998,0.12716681,0.08888387,0.25109694,-0.363697014,0.035796729,0.534361361,-0.197692109,0.212151468,0.355186088,-0.110371666,0.573102512,0.82954159
1_1063_MED4_genome,5,MED4,,Alternative locus ID,0.1969937,0.492288075,0.726616565,0.03007854,0.84538716,0.91286607,0.310592939,0.219518593,0.583257561,0.162613027,0.19238411,0.332945833,0.006569834,0.950421791,0.985352308
1_1064_MED4_genome,5,MED4,,Alternative locus ID,0.231848528,0.232228804,0.554455105,0.47461022,0.01913095,0.1094929,0.366075821,0.029346617,0.534361361,0.287393936,0.035830787,0.134343458,0.394178962,0.037343423,0.726824113
1_1065_MED4_genome,5,MED4,,Alternative locus ID,0.221435265,0.202229581,0.541096192,0.18620734,0.05737455,0.20075867,0.112213086,0.276591312,0.608713935,0.367584356,0.063224185,0.171302765,0.269010688,0.238476359,0.726824113
1_1066_MED4_genome,5,MED4,amyA,Alternative locus ID,0.08625292,0.543139423,0.751708092,0.04888649,0.63796068,0.77213708,0.229247489,0.066778975,0.534361361,0.065428874,0.5222959,0.65534319,0.144088722,0.238785638,0.726824113
1_1067_MED4_genome,5,MED4,,Alternative locus ID,-0.113316343,0.428208636,0.682978598,0.1787919,0.09951704,0.26662794,-0.1346416,0.397957123,0.664161977,-0.019749918,0.83136338,0.894921621,-0.035168815,0.784110896,0.901962294
1_1068_MED4_genome,5,MED4,ureC,Belongs to the metallo-dependent hydrolases superfamily. Urease alpha subunit family,-0.218044764,0.162508549,0.531579157,0.13704684,0.09785163,0.26468709,-0.080108314,0.667112112,0.811600236,0.09230296,0.368841117,0.504820304,-0.137037122,0.313777847,0.729829078
1_1069_MED4_genome,5,MED4,ureB,Belongs to the urease beta subunit family,-0.146636463,0.554628449,0.758022433,0.12545542,0.35177728,0.54061132,-0.148751575,0.355345123,0.642205951,0.505880806,0.010480211,0.088452934,0.007461368,0.977675638,0.991471111
1_107_MED4_genome,5,MED4,rimO,Catalyzes the methylthiolation of an aspartic acid residue of ribosomal protein S12,0.145002926,0.42753926,0.682712318,0.23911874,0.15164355,0.33140759,0.200351806,0.182620475,0.561865545,0.370693937,0.024584027,0.117018345,0.046636926,0.702678568,0.872556903
1_1070_MED4_genome,5,MED4,ureA,Belongs to the urease gamma subunit family,-0.315416871,0.045358719,0.513773,-0.3051658,0.00181177,0.04350521,-0.427159514,0.005435556,0.534361361,-0.385663008,0.035460461,0.134093595,-0.422322321,0.004039217,0.726824113
1_1071_MED4_genome,5,MED4,ureD,Required for maturation of urease via the functional incorporation of the urease nickel metallocenter,0.126922951,0.466058824,0.701758074,-0.0468962,0.73577442,0.83634477,0.194675502,0.281225374,0.611295501,0.176292244,0.236697905,0.379863556,0.182654831,0.280220611,0.729703177
1_1072_MED4_genome,5,MED4,ureE,Involved in urease metallocenter assembly. Binds nickel. Probably functions as a nickel donor during metallocenter assembly,0.107547838,0.673358609,0.835501474,0.14468238,0.12984261,0.30270347,0.261546468,0.316137916,0.625734656,0.002421324,0.97814338,0.986358758,0.007684083,0.954690237,0.985352308
1_1073_MED4_genome,5,MED4,ureF,Required for maturation of urease via the functional incorporation of the urease nickel metallocenter,0.524370976,0.069698237,0.513773,0.31162018,0.09084103,0.25401108,0.593088777,0.132497851,0.536097533,0.456744314,0.024732748,0.117018345,0.272743777,0.131075295,0.726824113
1_1074_MED4_genome,5,MED4,ureG,"Facilitates the functional incorporation of the urease nickel metallocenter. This process requires GTP hydrolysis, probably effectuated by UreG",0.105275871,0.568950039,0.766984579,0.13901279,0.20846445,0.3978274,0.20463945,0.129738243,0.536097533,0.163998175,0.17650264,0.317698806,0.21427698,0.177616978,0.726824113
1_1075_MED4_genome,5,MED4,urtA,substrate binding protein,-0.692575014,0.008910163,0.513773,-1.0351459,0.00012869,0.03341187,-0.66378587,0.061961949,0.534361361,-0.635141437,0.010955909,0.088452934,-1.015170032,0.040080614,0.726824113
1_1076_MED4_genome,5,MED4,urtB,Belongs to the binding-protein-dependent transport system permease family,-0.285042893,0.089030305,0.513773,-0.4412454,0.05135627,0.19008746,-0.203852295,0.409009153,0.670616516,0.012153305,0.922997645,0.952709295,-0.375084657,0.015037019,0.726824113
1_1077_MED4_genome,5,MED4,urtC,Belongs to the binding-protein-dependent transport system permease family,-0.058793822,0.656897731,0.828018728,-0.0387085,0.6567367,0.78652818,0.197797452,0.082133488,0.534361361,0.058638,0.599295235,0.723144565,-0.100354191,0.571663373,0.829430015
1_1078_MED4_genome,5,MED4,urtD,Alternative locus ID,0.049260449,0.834339666,0.923784725,-0.342045,0.04451314,0.17454764,-0.089207532,0.663066486,0.810673964,0.445537951,0.027440874,0.120473861,-0.121876661,0.440178665,0.774343605
1_1079_MED4_genome,5,MED4,urtE,Alternative locus ID,0.596979103,0.143067038,0.515627577,-0.1768847,0.34062052,0.53111366,0.042772269,0.849641228,0.909788629,0.804479217,0.008360809,0.083484911,0.482749816,0.137322021,0.726824113
1_108_MED4_genome,5,MED4,,,0.401133401,0.299027629,0.579287018,0.41133841,0.27160096,0.46386561,0.198428162,0.493269792,0.705955261,1.059259706,0.002033031,0.073330267,0.316312281,0.269551526,0.727689704
1_1080_MED4_genome,5,MED4,,Alternative locus ID,0.538126067,0.288131826,0.576491998,-0.2340599,0.38162171,0.56609675,0.329693179,0.492991514,0.705955261,-0.140966663,0.413151814,0.5530764,0.010595396,0.975758846,0.991471111
1_1081_MED4_genome,5,MED4,,,0.440141083,0.42918965,0.683076485,0.20289996,0.31877019,0.51318216,0.469174935,0.413729391,0.670616516,0.249390038,0.019697863,0.106290998,0.056643865,0.622900043,0.850912144
1_1082_MED4_genome,5,MED4,,Alternative locus ID,0.631387079,0.414604748,0.673820407,0.31309112,0.40153446,0.58479735,0.421262667,0.478555118,0.694976762,0.994863705,0.000312423,0.072309435,0.318987351,0.253897343,0.726824113
1_1083_MED4_genome,5,MED4,,None,0.981453766,0.180081554,0.539510648,0.35477467,0.40448057,0.58775126,0.837964817,0.096619986,0.534361361,1.311531322,0.014305501,0.098852038,0.722525194,0.149287208,0.726824113
1_1084_MED4_genome,5,MED4,,Alternative locus ID,-0.288692761,0.24029127,0.558098386,-0.3886363,0.01076632,0.08110629,-0.080098776,0.786618994,0.871411948,-0.325912818,0.056675037,0.164536747,-0.375045863,0.179364429,0.726824113
1_1085_MED4_genome,5,MED4,,Alternative locus ID,-0.161569696,0.426261336,0.682122769,-0.0523155,0.69198811,0.81127421,0.16107634,0.307196099,0.62302309,0.316823534,0.067093147,0.176855731,-0.195045481,0.26115704,0.726824113
